source_id,global_index,image_url,review_count,valid_count,participant_followup_count,max_anomaly_score,mean_anomaly_score,roles,buckets,evidence_axes,axis_match_count,review_tier,priority_candidate,focus_rendered,quality_tier,quality_score,n_obs,amplitude_completed,rebrightening_completed,nonmono_completed,peak_snr,latest_reason
AT2018jfg,287,http://49.233.162.81:8788/all_sample_gp/AT2018jfg_sample_gp.png,2,2,0,1,1.0,"{""typical"": 2}","{""control_agreement"": 2}","{""smooth_control"": 2}",0,pool,False,False,D_heavy_imputation,0.6,114,0.34,0,0.39,7.7,g波段16.6-17.2，r波段15.8-16.4，两波段分层清晰，振幅约0.34等，拟合线平缓无结构
AT2019hha,868,http://49.233.162.81:8788/all_sample_gp/AT2019hha_sample_gp.png,2,2,0,1,1.0,"{""typical"": 2}","{""control_agreement"": 2}","{""sparse_sampling"": 2}",0,pool,False,False,A_completed_high,0.85,130,1.46,3,0.48,14.3,两波段微弱起伏无突增或衰减；可作对照
AT2019hiw,869,http://49.233.162.81:8788/all_sample_gp/AT2019hiw_sample_gp.png,2,2,0,1,1.0,"{""typical"": 2}","{""control_agreement"": 2}","{""sparse_sampling"": 2}",0,pool,False,False,A_completed_high,0.8,91,0.86,5,0.43,6.4,两波段微弱起伏无突增或衰减；可作对照
AT2019hje,870,http://49.233.162.81:8788/all_sample_gp/AT2019hje_sample_gp.png,2,2,0,1,1.0,"{""typical"": 2}","{""control_agreement"": 2}","{""sparse_sampling"": 2}",0,pool,False,False,A_completed_high,0.84,262,0.75,6,0.36,5.5,两波段微弱起伏无突增或衰减；可作对照
AT2017ifk,4,http://49.233.162.81:8788/all_sample_gp/AT2017ifk_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.52,207,0.28,0,0.47,1.1,r波段18.2-19.2与g波段18.4-19.8分层清晰，207点密集采样，振幅仅0.5等整体波动平稳无明显峰形
AT2017ilj,5,http://49.233.162.81:8788/all_sample_gp/AT2017ilj_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.53,48,0.08,0,0.47,1.2,r波段16.4-16.9，g波段17.4-17.8间距约1等，58400-58500区间r波段密集，整体振幅0.5等三波段稳定分层对照
AT2017iqg,11,http://49.233.162.81:8788/all_sample_gp/AT2017iqg_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,C_imputed_usable,0.47,28,0.03,0,0.38,0.2,g-band稳定在18.6-19.0等，r-band在17.8-18.4等波动，三波段分层清晰，振幅约0.5等，无明显峰形结构；观测数28较少
AT2017isr,12,http://49.233.162.81:8788/all_sample_gp/AT2017isr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.57,286,0.47,1,0.36,2.2,g/r双波段数据丰富(286 obs)，三波段分层清晰，间距约0.5等，振幅约1.5等，整体平稳无明显衰减或再亮
AT2017jgb,15,http://49.233.162.81:8788/all_sample_gp/AT2017jgb_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""rebrightening"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.83,134,0.65,0,0.0,7.4,"三波段稳定分层(g:17.5-18.0, r:17.0-17.6, i:16.6-17.1)，无明显衰减或再亮，134次观测数据质量良好"
AT2017jzt,20,http://49.233.162.81:8788/all_sample_gp/AT2017jzt_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.53,40,0.23,0,0.27,1.2,两波段分层清晰(g暗于r)，振幅约0.75等，g在20.5-21.0波动，r在19.75-20.50，无明显峰形
AT2017jzv,21,http://49.233.162.81:8788/all_sample_gp/AT2017jzv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.59,55,0.71,4,0.43,3.1,三波段分层清晰间距约0.5等，整体随时间变暗约1等无峰形结构
AT2017kav,26,http://49.233.162.81:8788/all_sample_gp/AT2017kav_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.63,127,0.29,0,0.32,6.0,三波段分层清晰但无明显峰形结构，振幅约0.8等，可作对照样本
AT2017khp,29,http://49.233.162.81:8788/all_sample_gp/AT2017khp_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,78,0.18,0,0.42,2.6,双波段间歇性观测，振幅约0.5等，无明显峰形结构
AT2018ach,31,http://49.233.162.81:8788/all_sample_gp/AT2018ach_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.48,42,0.05,0,0.46,0.4,三波段(g/r/i)分层清晰，振幅约0.5等，SNR低但整体趋势平稳，无明显峰形结构
AT2018ado,33,http://49.233.162.81:8788/all_sample_gp/AT2018ado_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.53,586,0.22,0,0.49,1.3,三波段分层约1等(g暗于r)，振幅0.22小，无峰形结构，采样密集平稳
AT2018afd,37,http://49.233.162.81:8788/all_sample_gp/AT2018afd_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,695,0.37,1,0.5,2.7,三波段(g/r/i)稳定分层在17-18等区间，振幅仅0.37等，695个观测点均匀分布，无峰形结构，整体平稳可作对照
AT2018ahv,40,http://49.233.162.81:8788/all_sample_gp/AT2018ahv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.56,234,0.13,0,0.4,1.8,三波段(i在15.25-15.75、r在15.75-16.25、g在16.5-17)极稳定分层，无交叉重叠，振幅仅0.13等，整体平稳SNR偏低但结构稳定
AT2018aia,41,http://49.233.162.81:8788/all_sample_gp/AT2018aia_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.54,226,0.14,0,0.36,2.2,三波段(g/r/i)分层清晰，g在18.3-19.2等，r在17.9-18.3等，i在17.6-17.8等，振幅约0.14等，整体平稳无峰形结构
AT2018arz,48,http://49.233.162.81:8788/all_sample_gp/AT2018arz_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.62,471,1.02,2,0.43,5.4,g/r/i三波段分层清晰，g在18.8~19.6，r在17.4~19.3，i在17.5~18.3，整体衰减无峰形结构，可作普通对照
AT2018asa,49,http://49.233.162.81:8788/all_sample_gp/AT2018asa_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.57,72,0.37,2,0.56,2.2,三波段分层明显，r波段振幅较大(18.0~19.25)但整体平稳无峰，SNR仅2.2较低但形态正常，可作对照
AT2018asz,51,http://49.233.162.81:8788/all_sample_gp/AT2018asz_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.52,119,0.05,0,0.41,1.0,三波段(g/r/i)分层稳定，i波段16.0-16.3、r波段16.4-16.7、g波段17.2-17.4，振幅约0.05等，无峰形结构，可作普通对照
AT2018ato,52,http://49.233.162.81:8788/all_sample_gp/AT2018ato_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.47,108,0.04,0,0.0,0.2,三波段分层清晰，g波段19.4-19.8、r波段18.8-19.2、i波段18.8-19.0，振幅仅0.04等，虽有局部波动但整体平稳，SNR极低0.2
AT2018avh,54,http://49.233.162.81:8788/all_sample_gp/AT2018avh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.58,116,0.46,0,0.41,4.4,三波段(g/r/i)稳定分层，i波段15.6-16.0、r波段16.0-16.4、g波段16.4-17.2，振幅约0.46等但整体平稳无峰形，SNR 4.4较高
AT2018awl,55,http://49.233.162.81:8788/all_sample_gp/AT2018awl_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.5,37,0.06,0,0.51,0.7,两波段(g/r)分层清晰，r波段16.4-16.9、g波段17.3-17.8，振幅约0.06等，无明显峰形结构，采样较稀疏37点
AT2018bfo,64,http://49.233.162.81:8788/all_sample_gp/AT2018bfo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.55,143,0.2,1,0.41,2.4,g波段17.8→18.4、r波段17.4→18.0呈先降后升再波动趋势，振幅约0.2等，i波段17.2-17.6分层清晰，整体变化平缓，SNR2.4偏低，无特殊结构
AT2018bfy,66,http://49.233.162.81:8788/all_sample_gp/AT2018bfy_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.56,1882,0.19,0,0.39,1.9,三波段(g/r/i)分层清晰，g在15.0-15.25、r在15.75-16.25、i在14.5-14.75，振幅约0.19等，无峰形结构，两段密集分布中间稀疏
AT2018bha,67,http://49.233.162.81:8788/all_sample_gp/AT2018bha_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.76,223,0.41,0,0.46,7.8,g波段在19.0-19.5波动、r波段在18.0-18.5、i波段在17.5-18.0，三波段分层稳定，58200-58300区间有小幅下降后回升，无明显异常结构
AT2018bnh,75,http://49.233.162.81:8788/all_sample_gp/AT2018bnh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.52,361,0.13,0,0.52,1.1,后期三波段分层清晰，g波段17.2至17.8，r/i波段16.8至17.4，振幅0.13等，SNR偏低1.1，整体平稳衰减
AT2018boh,78,http://49.233.162.81:8788/all_sample_gp/AT2018boh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,95,0.3,0,0.51,3.5,"三波段分层清晰(r: 18.2-18.8, g: 18.8-19.6, i: 18.1-18.3)，振幅约0.30等，SNR偏低(3.5)，整体平稳无峰形结构"
AT2018bpb,79,http://49.233.162.81:8788/all_sample_gp/AT2018bpb_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.57,795,0.19,0,0.46,2.1,"三波段分层(g: 18.5-19.0, r: 17.5-18.0, i: 17.0-17.5)，振幅约0.19等，整体分布紧凑无峰形结构"
AT2018ccd,91,http://49.233.162.81:8788/all_sample_gp/AT2018ccd_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.63,127,0.29,0,0.33,5.0,g波段16.8-17.0等与r波段15.8-16.0等分层清晰，振幅约0.29等，无峰形或衰减结构
AT2018ccv,94,http://49.233.162.81:8788/all_sample_gp/AT2018ccv_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.55,469,0.23,0,0.41,1.6,g波段18.75-19.25等与r波段17.75-18.50等分层清晰稳定，振幅约0.23等，无明显峰形
AT2018cdc,96,http://49.233.162.81:8788/all_sample_gp/AT2018cdc_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.7,161,1.15,2,0.4,6.4,g波段从17.50衰减到18.50约1等，r波段两段分离各约1等，三波段分层约0.5等，无明显峰形结构
AT2018cdl,97,http://49.233.162.81:8788/all_sample_gp/AT2018cdl_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.67,253,1.05,3,0.38,8.1,三波段同步衰减约2等，g波段从20.0衰减到21.5，r波段从19.5衰减到20.5，峰值后衰减平滑稳定
AT2018cjk,101,http://49.233.162.81:8788/all_sample_gp/AT2018cjk_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,D_heavy_imputation,0.54,333,0.46,0,0.41,4.4,三波段(g/r/i)分层清晰，振幅约0.46等，采样密集在MJD58300-58400，无明显峰形结构，dm15≈0.09极小值
AT2018cok,104,http://49.233.162.81:8788/all_sample_gp/AT2018cok_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.54,1050,0.14,0,0.24,1.5,三波段(g/r/i)分层清晰，振幅约0.14等，采样密集(1050点)但波动极小，SNR约1.5
AT2018com,105,http://49.233.162.81:8788/all_sample_gp/AT2018com_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.6,1537,0.27,0,0.31,3.4,三波段(g/r/i)分层清晰，振幅约0.27等，采样密集(1537点)无明显峰形结构，SNR约3.4
AT2018cxr,111,http://49.233.162.81:8788/all_sample_gp/AT2018cxr_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,C_imputed_usable,0.58,97,0.46,0,0.41,4.4,g波段从~19.2变暗到~20.5，振幅约1.3等；三波段分层清晰，间距约0.5等，整体呈平稳衰减无峰形
AT2018cyo,113,http://49.233.162.81:8788/all_sample_gp/AT2018cyo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.68,100,0.87,0,0.22,11.1,三波段(g/r/i)分层清晰，间距约0.25-0.5等；三波段同步衰减约1等，无明显峰形结构
AT2018dkw,127,http://49.233.162.81:8788/all_sample_gp/AT2018dkw_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.55,93,0.08,0,0.42,1.6,r波段在MJD58500处约18.25等见峰值，g波段在19.5-20.0区间波动，振幅约0.08等，两波段稳定分层无异常起伏
AT2018do,131,http://49.233.162.81:8788/all_sample_gp/AT2018do_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.51,459,0.14,0,0.47,0.8,459观测点三波段(g/r/i)分层清晰，左侧58200-58300处r波段峰值约18等，右侧58400-58600有类似波动，但整体振幅约0.14等偏小，SNR极低约0.8
AT2018dpn,133,http://49.233.162.81:8788/all_sample_gp/AT2018dpn_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.61,103,0.38,1,0.37,3.8,103观测点三波段(g/r/i)分层清晰，g从18.2渐变暗至18.9，r从17.6渐变暗至18.2，i稳定在17.4-17.6等，整体单调衰减振幅约0.38等
AT2018dvo,138,http://49.233.162.81:8788/all_sample_gp/AT2018dvo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.58,241,0.49,1,0.38,3.5,三波段分层清晰稳定，振幅0.49，无峰形结构，整体呈小幅波动下降
AT2018eal,141,http://49.233.162.81:8788/all_sample_gp/AT2018eal_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.8,257,0.35,0,0.52,5.7,三波段(g/r/i)分层清晰，g约18.7-19.0等，r约18.0-18.3等，i约17.6-17.9等，振幅约0.35等，无明显峰形结构
AT2018elf,152,http://49.233.162.81:8788/all_sample_gp/AT2018elf_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.51,963,0.11,0,0.16,0.9,g波段在19.0-19.5，r波段在18.0-18.5，i波段在17.5-18.0，三层稳定分层，全区间分布无峰形结构
AT2018ezt,160,http://49.233.162.81:8788/all_sample_gp/AT2018ezt_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.57,84,0.3,0,0.18,2.4,g/r/i三波段分布19.25-21.25范围，g波段下降后波动，SNR仅2.4偏低，振幅约0.3等偏小，证据不够充分
AT2018fh,162,http://49.233.162.81:8788/all_sample_gp/AT2018fh_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,C_imputed_usable,0.46,88,0.03,0,0.41,0.2,振幅仅0.03等整体平稳，g/r/i三波段在18.5-20等区间缓慢波动，无明显峰形结构，SNR=0.2数据质量低
AT2018fld,166,http://49.233.162.81:8788/all_sample_gp/AT2018fld_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.61,100,0.27,0,0.15,3.6,g/r/i三波段分层清晰，r波段振幅约0.7等，整体平稳无峰形结构
AT2018fqi,170,http://49.233.162.81:8788/all_sample_gp/AT2018fqi_sample_gp.png,1,1,0,1,1.0,"{""unsure"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.53,650,0.12,0,0.31,1.2,峰值SNR仅1.2信号微弱，三波段振幅均小于0.2等，证据不足以判断真实光变性质
AT2018fup,174,http://49.233.162.81:8788/all_sample_gp/AT2018fup_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.6,120,0.45,0,0.46,3.3,三波段振幅约0.45等，整体平稳，采样较稀疏，SNR仅3.3
AT2018gdx,182,http://49.233.162.81:8788/all_sample_gp/AT2018gdx_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.55,165,0.15,0,0.46,1.7,振幅极小仅0.15等，SNR偏低1.7；三波段分层但波动微弱；g波段在58400和58700附近有亮度变暗迹象
AT2018gfp,183,http://49.233.162.81:8788/all_sample_gp/AT2018gfp_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.69,77,0.09,0,0.22,2.8,振幅仅0.09等，属于极小振幅；三波段分层清晰，随MJD增加呈现单调衰减，观测点77个
AT2018ggy,185,http://49.233.162.81:8788/all_sample_gp/AT2018ggy_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",0,pool,False,False,C_imputed_usable,0.63,304,0.34,0,0.39,7.7,三波段(g/r/i)分层清晰；g波段从16.75变暗到17.50，r波段在16.00-16.50波动，i波段在16.00-16.25稀疏分布；振幅0.34等，采样密集(304点)
AT2018gmw,189,http://49.233.162.81:8788/all_sample_gp/AT2018gmw_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.75,74,0.62,1,0.47,5.5,两波段在MJD58300-58400从亮转暗后趋于平稳，g波段19.0-20.2，r波段18.8-20.0，无明显峰形结构
AT2018gow,193,http://49.233.162.81:8788/all_sample_gp/AT2018gow_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.6,131,0.37,1,0.4,3.3,g波段在19.0至19.8等区间波动，r波段在18.4至19.2等区间，两波段分层清晰无重叠，振幅0.37等极小，再亮仅1次，整体平稳无明显峰形
AT2018gst,195,http://49.233.162.81:8788/all_sample_gp/AT2018gst_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.69,119,0.42,0,0.49,4.8,r波段在16.8至17.0等区间，g波段在17.4至18.0等区间，两波段分层清晰间距约0.6等，振幅0.42等，无明显峰形结构
AT2018gvc,196,http://49.233.162.81:8788/all_sample_gp/AT2018gvc_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.57,256,0.27,2,0.42,2.2,g波段18.25-19.25等，r波段17.25-18等，分层清晰，振幅约0.27等，无明显峰形结构
AT2018gy,200,http://49.233.162.81:8788/all_sample_gp/AT2018gy_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,141,0.2,0,0.43,2.6,g波段18.4-19.4等，r波段18.0-18.6等，i波段仅早期少量数据，三波段分层清晰无明显峰形
AT2018hah,201,http://49.233.162.81:8788/all_sample_gp/AT2018hah_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.58,387,0.37,1,0.42,2.5,三波段(g/r/i)分层清晰，g在18.5-19.5等，r在18.0-18.5等，i在17.5-18.0等，振幅约1等，无峰形结构，整体平稳
AT2018hla,213,http://49.233.162.81:8788/all_sample_gp/AT2018hla_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,C_imputed_usable,0.63,88,0.34,0,0.39,7.7,r波段(18-18.8)和g波段(19-19.6)分层稳定，各自聚集无重叠。g波段在MJD58400-58900区间内呈先降后升再降的小幅波动，整体振幅约0.34等，变化幅度小
AT2018hlm,214,http://49.233.162.81:8788/all_sample_gp/AT2018hlm_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.82,1122,0.34,0,0.31,5.3,g(18.4-18.7)、r(18.1-18.5)、i(18.1-18.2)三波段分层，MJD58600-58700区间内三者有汇聚重叠。MJD58900处r波段有孤立点(星等约18.0)，振幅约0.34等，整体变化不显著
AT2018hoq,219,http://49.233.162.81:8788/all_sample_gp/AT2018hoq_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1, ""smooth_control"": 1}",0,pool,False,False,A_completed_high,0.8,100,0.43,3,0.49,4.9,g波段18.25-19.00，r波段17.25-18.00，两波段分层清晰，振幅0.43等偏小，整体平稳无明显峰谷
AT2018hqo,221,http://49.233.162.81:8788/all_sample_gp/AT2018hqo_sample_gp.png,1,1,0,1,1.0,"{""typical"": 1}","{""control_agreement"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,C_imputed_usable,0.5,62,0.11,0,0.42,0.6,g/r波段在MJD 58500-58900内同步波动，振幅约0.11等，整体平稳无峰形结构，SNR仅0.6
